time,cycles,instructions,branch-misses,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_miss,CPI
19.2251805,1338869194,2234924022,21419612,192239,5964799,876562,41831,23134,21609611,4744,908,1665,89859,114704,204138,0.5990669843
19.52558694,1335782204,2142001614,22458430,124054,6311037,350584,20091,6417,22700536,4164,959,1611,67468,78641,147801,0.6236140044
19.82598531,1344522257,2149551404,22777102,86725,6208024,337815,26044,11119,22536762,2834,977,1758,87600,70370,89914,0.6254896973
20.12617228,1339743953,2171678532,22701510,122596,5161887,364091,20002,1615,22752213,2832,862,2344,82562,93839,178996,0.6169163314
20.42658026,1339445216,2157450194,22764893,142225,5562258,375170,27315,16804,22886689,2739,1031,1566,59922,68304,102600,0.6208464138
20.7270015,1334056484,2135035076,22750234,90336,5722930,399162,28103,16506,22593696,3023,1773,2502,79729,63534,81963,0.6248405466
21.02741974,1323895746,2117853047,22654162,96019,5306397,344018,24450,1925,22686553,2820,1186,2268,92186,87318,116076,0.6251121851
21.32783195,1331040153,2121295155,22406898,145964,6273270,396856,29560,15622,22554139,3837,908,2901,65171,83630,181155,0.627465796
21.62825106,1340664780,2130240516,23155961,97951,4897585,370455,31385,23835,23102014,2832,1078,1572,60066,63620,79912,0.6293490195
21.9286604,1333445592,2104445802,23061612,89553,4812409,355269,25203,5965,23081371,2878,974,2188,79678,74291,92391,0.6336326603
22.22907815,1312716445,2061150151,22915023,174516,4965326,384435,26395,6851,23232931,2705,1324,1734,90535,122118,257150,0.6368854032
22.52949214,1335548211,2090569312,23129175,143836,5338550,393129,38189,26150,23062586,3182,1199,2771,58853,71336,94775,0.6388442628
22.82991019,1332020759,2077099455,23238244,98130,5103352,400265,24589,10667,23325601,3939,1169,2015,88250,77138,103653,0.6412888684
23.1303589,1330953592,2061309780,23143637,179396,5945569,404114,20910,10477,23450751,2783,750,2262,66869,115552,226662,0.6456834411
23.4308255,1328034323,2051311129,22901229,120162,5987274,405106,35061,28017,23182767,3447,980,2310,69981,67348,89586,0.6474075552
23.73124677,1331785393,2066045926,23502340,65754,4875781,363862,28498,33431,23306239,3298,1416,2137,65693,57162,76223,0.6446058997
24.03165518,1331856399,2057597184,23631950,75545,3951310,371204,27038,13247,23373166,2894,1494,1638,95870,64563,84823,0.6472872384
24.33182405,1326622051,2062747983,23002300,100866,5454494,413235,33186,2955,22861930,3194,1192,5511,123792,111470,81034,0.6431333648
24.6322293,1336573646,2095282856,23198945,84751,4443304,479203,18885,9340,22878029,3570,1590,2366,103712,62483,80071,0.6378965218
24.93264013,1330066212,2074810034,23397080,86718,4089786,468778,29091,29511,23400828,3124,666,1494,64451,70931,84737,0.6410544533
25.23304292,1329331909,2091702645,23135473,143989,3899252,454952,23698,11346,23237980,3266,2497,1713,87960,71026,288771,0.6355262361
25.53346341,1331904646,2082368745,23405868,92873,3842922,394629,24565,27179,23375330,3200,645,1581,63728,55177,75462,0.6396103712
25.83386939,1331844866,2086456858,23028019,102583,5159074,437902,18585,2852,23132203,2662,963,1593,80982,79587,283097,0.638328495
26.13427992,1332894070,2069156343,23164018,65173,5534435,416574,18870,18334,23167251,2232,1629,3016,73015,56391,69522,0.6441727202
26.43468887,1346077267,2071747940,23536209,128368,5331001,412474,16552,8796,23407248,827,1305,3195,81845,133118,296336,0.6497302307
26.73510013,1339446887,2057829284,23712264,42152,4392315,368760,20472,17045,23480458,1040,630,3979,76229,68535,90272,0.6509028214
27.03551208,1335493089,2039783508,23601486,115889,4590477,424384,27967,27130,23683340,520,1281,1533,58475,54788,59901,0.6547229565
27.33582129,1329336121,2028359385,23763518,73878,3539762,400212,13401,1051,23515584,2839,1611,2550,107067,97690,142530,0.6553750439
27.63622485,1323009492,2030877160,22977685,122145,4945828,400973,29898,26362,23117970,1413,831,4416,50518,52618,49141,0.6514473244
27.9366279,1322944234,2031862165,23314514,75635,4320244,413469,21631,17749,23444789,3125,1164,1801,107669,82743,119438,0.6510993988
28.23705007,1320827618,2027836433,22948677,156255,4877165,433305,23454,20282,23122252,1092,837,3924,65202,125543,285837,0.6513482037
28.53745949,1312001544,1989853386,22249889,193159,5016083,531706,27079,18154,21944356,1233,757,4499,97223,96107,173690,0.6593458358
28.83785145,1329285144,2037343778,23049500,126014,4486506,604826,27930,21872,23081171,4441,1857,3547,156136,181787,220367,0.6524599129
29.13827018,1320002147,2044109338,22768246,169821,5210468,542306,31946,20779,22780060,1886,1095,8748,83627,158145,600927,0.6457590709
29.43866297,1333902107,2051713030,23185570,134024,4618568,506550,28141,22159,23056239,1504,1064,5879,89346,98450,198344,0.6501406812
29.73907524,1333394839,2072729317,22732633,176020,5739876,607027,28151,22162,22831219,863,1733,7988,83146,71600,221694,0.6433038931
30.0394682,1320234984,2052379371,22541763,126131,4935903,623685,34813,30404,22706825,673,1001,4259,76157,70086,184917,0.6432704414
30.33979138,1321036648,2053856820,22498485,158993,5528241,618449,34243,26227,22940750,896,393,3172,70102,74824,206546,0.6431980239
30.64018812,1335564754,2066716921,22997954,164282,3818627,544411,28164,21628,22951609,824,1618,2130,101742,166346,435325,0.646225296
30.94035409,1338227864,2069419687,23016474,115638,4038462,506047,25882,14183,23073845,1055,411,3781,94869,66487,197773,0.6466681807
31.24077186,1336228147,2077106457,23003632,126080,3987774,572451,32802,19933,23010749,1633,439,1803,79214,82711,373160,0.6433123071
31.54120595,1342619035,2105999829,22724532,150328,3638107,575435,27449,27450,22599578,2067,490,3571,107928,80066,199915,0.6375209611
31.84161816,1335072247,2094370840,22601295,77850,4310742,665956,19937,7017,22403776,3177,785,8394,97606,98015,203174,0.6374574271
32.1420117,1301075246,2044662515,21821912,213682,3805266,712627,33404,23807,22311937,3159,1946,9424,113170,273540,728023,0.6363276269
32.44243018,1315410641,2053236972,21969075,297889,4395862,824714,42831,41992,22236544,5508,3854,2509,145596,186103,488278,0.6406521307
32.74285169,1341535536,2079366468,22450918,179671,3758198,905067,33093,30472,22485053,7211,1693,6467,104147,127152,306252,0.6451655139
33.04331861,1338383613,2061758143,22430012,217394,4488183,1166914,42893,47753,22355947,10960,2985,5007,129947,107398,263326,0.6491467574
33.34375449,1328744883,1983579769,21561879,175864,4004232,972084,36521,33309,21938137,6454,2094,4578,140324,176661,269433,0.6698721694
33.64419739,1338712316,2091093239,21950588,101269,7652601,500761,16680,16029,22049903,3255,731,3290,95903,119239,275001,0.6401973336
33.94461444,1324975281,2044501778,21942611,65782,6250365,457489,12817,6215,22655522,3264,999,2301,108002,200696,366559,0.6480675611
34.24501859,1330423883,2105758316,22423419,89856,6067881,478050,16739,13136,22754344,3523,923,2352,121594,158758,291283,0.6318027444
